Taxa,PC1,PC2,PC3,PC4,PC5
4226,0.014650529,-0.030106077,-0.0011949171,-0.003281213,-0.01097243
4722,0.0073858015,-0.06284565,-0.035953637,-0.13260178,-0.010742138
33-16,0.0048921704,-0.032893956,0.011824112,-0.009105036,-0.002499731
38-11,0.03878376,-0.040073182,0.0035994248,0.020913249,-0.02266626
A188,0.0032146086,-0.037543852,-0.0047923215,-0.014928201,-1.2681191E-4
A214N,0.07298846,0.06662696,0.13387151,-0.025209028,0.022737114
A239,0.028199429,-0.038230546,0.012134331,0.018002713,-0.03657281
A272,-0.0281245,0.008821945,-0.007618664,-0.011120717,-5.520381E-4
A441-5,-0.018154688,-0.011842513,-4.7981046E-4,-0.007576552,-0.0030542742
A554,0.021573978,-0.045885902,-0.009121451,0.039309878,-0.033297926
A556,0.028779399,-0.034315612,-0.0020586872,0.0109429825,-0.02311226
A6,-0.08774369,0.04305356,-9.3115075E-4,4.832212E-4,-0.001152031
A619,0.03447039,-0.07197907,0.00544367,0.030178048,-0.05637631
A632,0.11645598,0.06159805,0.14257005,-0.028318336,0.028800579
A634,0.108270496,0.06034885,0.13830674,-0.027970605,0.025839241
A635,0.11237842,0.06193385,0.1381588,-0.02400253,0.02884438
A641,0.078947686,0.027965957,0.11621478,-0.027869893,0.016447853
A654,0.017866489,-0.04958753,0.0046426724,0.04862945,-0.045600977
A659,0.03164375,-0.034834027,0.020679109,0.014441274,-0.030960638
A661,0.013940692,-0.033182353,0.0040087556,-0.0074316994,-0.015052481
A679,0.13500586,0.101563685,-0.08059659,-0.0060856966,0.009249271
A680,0.14973539,0.11492538,-0.06950106,-0.0019093679,0.009581171
A682,0.029490216,-0.048895262,-0.008418073,0.031639498,0.070329346
Ab28A,0.00482541,-0.026619066,-0.007552649,0.0128151635,-0.002280611
B10,0.094736025,0.0421142,0.028446803,0.00805348,-0.009980145
B103,0.0480718,-0.021057187,0.016709488,0.022945266,-0.0023737957
B104,0.11285589,0.06943529,-0.007156479,0.005121401,0.0014271813
B105,0.081380114,0.032639388,-0.013017883,0.006210005,-0.011829705
B109,0.14347121,0.10956168,-0.053433742,-0.0042341882,0.007280843
B115,0.014073292,-0.036665957,0.0025407323,0.002680612,-0.013276086
B14A,0.1319645,0.08256913,0.14259706,-0.024515888,0.027893182
B164,0.037424427,-0.017424295,0.002788695,0.008895036,-0.01999629
B2,0.031081857,-0.021043966,0.011273574,0.022088448,-0.018051261
B37,0.09844737,0.042948175,-0.06038182,0.012252738,-0.015183183
B46,0.06180037,-0.016712483,0.040478382,0.01727132,-0.03304592
B52,0.037891358,-0.030175729,-0.010742167,0.041551337,-0.032138497
B57,0.0060137813,-0.028104149,0.0016485621,-0.0018250122,-0.009805043
B64,0.086492166,0.07262669,0.14007646,-0.027737983,0.027304176
B68,0.10515374,0.07485744,0.15270916,-0.028595766,0.029272893
B73,0.15433453,0.120763965,-0.06858205,-0.0015483057,0.009278372
B73Htrhm,0.15399438,0.12087889,-0.070493534,-8.4529095E-4,0.0088002235
B75,0.02692518,-0.034183808,0.011045296,0.025386717,-0.013160466
B76,0.085534655,0.034331217,-0.058233686,0.008931279,-0.014136649
B77,6.4266974E-4,-0.026181886,0.003050003,0.0010150683,0.013042096
B79,0.059247777,-0.0098502645,0.050353885,0.007758151,-0.019431531
B84,0.11613401,0.07406815,-0.018754609,0.0027630308,0.0020966695
B97,0.023754364,-0.031627823,0.0046108817,0.014478141,-0.021165289
C103,0.008036667,-0.08402927,-0.018151924,0.033880588,0.1510578
C123,0.006255097,-0.07064017,-0.012424959,0.020317996,0.11441547
C49A,0.013469226,-0.04053656,0.008926075,-0.015329669,-0.011779001
CH701-30,0.02283311,-0.029133795,0.006657735,0.011258477,-0.021979839
CH9,0.018689841,-0.040573448,-0.0010314591,0.057532914,-0.0482166
CI.7,0.013378024,-0.031591162,0.0049148984,-0.0037538374,-0.004503409
CI187-2,-0.0113924565,-0.012477602,0.003428004,0.008291535,-0.017350301
CI21E,0.03920441,1.7544022E-4,-0.00438393,0.008598736,-0.016199162
CI28A,8.886399E-4,-0.012840496,0.013071806,0.016263725,-0.014732338
CI31A,0.008860948,-0.023468392,-0.003025456,-0.0030102986,-0.005219513
CI3A,0.018657358,-0.028294861,0.013205222,-0.007469236,-0.0049450267
CI64,-0.01627315,-0.017151752,0.0037447964,-0.009063375,-0.010890828
CI66,-0.01864736,-0.0188669,-0.0030582557,-0.008470769,-0.0057834894
CI90C,-0.0040736855,-0.024272405,0.0025363513,0.0096330065,-0.023485769
CI91B,0.048843067,-0.007874086,-0.032584105,0.037157886,-0.0070064603
CM105,0.11713713,0.06478126,0.09827321,-0.0271985,0.01599072
CM174,0.1045652,0.04687697,0.1266155,-0.034625575,0.019123085
CM37,0.0292074,-0.071063295,0.0056103403,-0.055494305,0.003304534
CM7,0.014536672,-0.040689263,0.0026799382,-0.020600988,-0.0036032202
CML10,-0.094239295,0.040643424,5.5588194E-4,-0.0051551047,-0.0042489627
