Taxa,diff.tassel,diff.silk,BLUPs.south.GDDtassel,BLUPs.north.GDDtassel,BLUPs.south.GDDsilk,BLUPs.north.GDDsilk,mean.silk,mean.tassel
33-16,12.883696,5.9175096,-0.03487423,2.0937004,1.8121777,1.5903307,1.1015596,0.5043053
38-11,17.761002,21.885006,0.012043725,2.6652913,-1.0597094,2.2567754,0.468566,0.65505004
4226,-3.0421572,2.4210446,-0.61775637,-1.355549,-1.8257301,-1.2312276,-1.0383269,-0.55342114
4722,29.494377,40.79565,0.91724896,6.530985,2.0754995,8.397324,3.8470197,1.9668915
A188,11.750656,20.180838,-2.6671646,-1.677624,-6.505712,-2.386161,-2.7910025,-1.2650223
A214N,65.51962,82.05202,0.6681771,13.987864,-2.9640849,12.7682495,3.870388,3.810945
A239,8.560048,17.193901,-0.4057013,0.5434255,-2.4781637,0.072777055,-0.73746324,0.0017830337
A272,2.0434673,2.0062845,-2.0039246,-2.0129123,-2.64192,-1.4610382,-1.2419236,-1.1257842
A441-5,7.9438844,3.2716997,0.39260152,1.7726396,2.1445153,2.1937861,1.5174302,0.57705504
A554,-5.1767955,-11.198869,-0.86233,-1.9283155,-1.3774517,-3.0003424,-1.4898361,-0.74099123
A556,-4.159605,-3.1588535,-0.765595,-2.0393372,-3.0585337,-3.2780755,-2.0896573,-0.7355253
A6,-24.40718,-48.369953,2.8710234,-0.07936649,7.872086,-0.5816757,2.2571087,0.91414016
A619,1.2367125,-5.1890683,-1.2291416,-1.4518245,-1.163825,-2.405125,-1.2992498,-0.7637827
A632,-8.6295185,-12.194364,0.1475949,-1.5089949,-1.7902128,-4.290059,-2.3080127,-0.32756668
A634,23.341967,24.8749,-1.3976439,2.616303,-4.0095057,2.3591573,-0.22304563,0.27688164
A635,-4.732149,-8.202875,0.88402444,-0.24321789,1.5779788,-0.10837292,0.3178701,0.20873074
A641,-5.475318,-1.9952196,-1.4270325,-3.0034664,-4.430122,-3.8985603,-2.7598848,-1.2015946
A654,23.912994,34.460754,-2.9073052,0.42401814,-5.8852916,1.0097655,-1.3505322,-0.8207758
A659,-4.859706,-4.855478,-0.84534407,-2.0711074,-2.504091,-2.8710372,-1.7811111,-0.7816025
A661,2.1871905,8.755516,-1.95793,-2.0214894,-4.683788,-2.0009537,-2.0916371,-1.1118026
A679,-37.47771,-11.534908,5.553378,-12.894027,-7.9831176,-9.868535,-7.4343295,-2.264171
A680,23.174906,26.735796,-2.0187478,4.8878803,-3.9624755,6.1839404,1.2600664,0.7535202
A682,-12.130784,-13.8472805,-1.2552644,-4.2894015,-4.0235233,-5.8800554,-3.4371784,-1.4903495
Ab28A,8.483129,10.245446,1.586118,3.2037039,3.4119337,4.0197787,2.5931053,1.3137337
B10,-8.826598,-3.0008748,1.9741997,0.63812536,6.128737,3.5844505,3.2175498,0.79775316
B103,6.984904,13.512141,-1.0243081,-0.5322351,-3.7527583,-1.2693843,-1.6659982,-0.48924714
B104,10.864097,-1.884359,-1.8864539,-0.80540246,-0.9287742,-1.7002717,-1.0089976,-0.8690363
B105,-17.096603,-22.308762,2.507969,0.047479566,4.2243223,-0.58754975,0.9800052,0.8014644
B109,9.903478,14.31867,-1.2953094,0.26730368,-3.2371395,0.5179048,-0.7798464,-0.31153855
B115,3.5193794,5.1932893,0.67696303,1.2551571,2.383389,2.4015903,1.6041882,0.5195215
B14A,16.825222,-3.8738525,-5.1515627,1.8549907,4.744673,3.384718,3.0444572,-1.2581785
B164,3.6638734,-3.4402986,-1.7693877,-1.6534588,-2.466242,-2.5278034,-1.6981351,-0.9872915
B2,13.156676,12.177572,-3.3227754,-1.4969007,-6.863342,-3.2971635,-3.4643514,-1.4882392
B37,13.931465,24.16307,1.1913211,4.9205365,3.7277086,9.8672,5.076637,1.7107168
B46,10.443335,15.334304,-0.4452517,1.2767521,-2.9714532,-0.20328538,-1.0915965,0.16597846
B52,0.9017669,6.468092,1.3674289,1.6152809,0.74811566,1.1136621,0.6462106,0.8413535
B57,2.9977565,-0.26933423,-1.292649,-1.2394657,-2.0527806,-1.566514,-1.1850872,-0.7326155
B64,-27.934805,-34.320965,-6.6871667,-13.691318,-15.005777,-18.963633,-11.885732,-5.6661987
B68,-26.759558,-4.6085052,5.8105173,-1.535123,14.965509,9.237197,8.39,1.4681909
B73,-1.7954214,-5.3631153,1.387359,-2.7410665,-1.5652016,-5.338138,-2.928542,-0.08772339
B73Htrhm,11.76849,-7.8437967,-9.469136,-4.729853,-1.9208258,-6.753732,-3.6427174,-5.1867766
B75,-0.23957224,-13.97158,-1.3837017,-2.0348873,-0.9359967,-3.083813,-1.4349566,-0.9596552
